tau,time_s,x,z_m,P_Pa,P_bar,T_K,u_m_s,rho_g_kg_m3,y_N2,q_N2_mol_kg,qstar_N2_mol_kg,Pi_N2_bar,y_H2,q_H2_mol_kg,qstar_H2_mol_kg,Pi_H2_bar,y_NH3,q_NH3_mol_kg,qstar_NH3_mol_kg,Pi_NH3_bar,sum_y
0.0,0.0,0.0,0.0,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.025,0.025,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.05,0.05,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.075,0.075,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.1,0.1,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.125,0.125,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.15,0.15,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.175,0.175,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.2,0.2,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.225,0.225,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
